Generation,City Order,Distance,Fitness
26,[City(3), City(19), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(25)],429.841018,0.002326442
27,[City(3), City(19), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(25)],429.841018,0.002326442
28,[City(3), City(19), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(25)],429.841018,0.002326442
29,[City(3), City(19), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(25)],429.841018,0.002326442
30,[City(3), City(19), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(25)],429.841018,0.002326442
31,[City(3), City(19), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(25)],429.841018,0.002326442
32,[City(3), City(19), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(25)],429.841018,0.002326442
33,[City(3), City(19), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(25)],429.841018,0.002326442
34,[City(25), City(19), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3)],425.207412,0.002351793
35,[City(25), City(19), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3)],425.207412,0.002351793
36,[City(25), City(19), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3)],425.207412,0.002351793
37,[City(25), City(19), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3)],425.207412,0.002351793
38,[City(25), City(19), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3)],425.207412,0.002351793
39,[City(25), City(19), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6), City(3)],425.207412,0.002351793
40,[City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6)],417.294314,0.002396390
41,[City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6)],417.294314,0.002396390
42,[City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6)],417.294314,0.002396390
43,[City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6)],417.294314,0.002396390
44,[City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(4), City(12), City(18), City(0), City(22), City(10), City(13), City(20), City(1), City(6)],417.294314,0.002396390
