Generation,City Order,Distance,Fitness
116,[City(1), City(20), City(6), City(19), City(3), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(10), City(22), City(13)],407.863467,0.002451801
117,[City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(15), City(25), City(9), City(23)],406.330183,0.002461053
118,[City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(15), City(25), City(9), City(23)],406.330183,0.002461053
119,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],406.330183,0.002461053
120,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],406.330183,0.002461053
121,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],406.330183,0.002461053
122,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],406.330183,0.002461053
123,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],406.330183,0.002461053
124,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],406.330183,0.002461053
125,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],406.330183,0.002461053
126,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],406.330183,0.002461053
127,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],406.330183,0.002461053
128,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
129,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
130,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
131,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
132,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
133,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
134,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
135,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
136,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
137,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
138,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
139,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
140,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
141,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
142,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
143,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
144,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
145,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
146,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
147,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
148,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
149,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
150,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
151,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
152,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
153,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
154,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
155,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
156,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
157,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
158,[City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17)],395.070313,0.002531195
159,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
160,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
161,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
162,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
163,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
164,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
165,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
166,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
167,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
168,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
169,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
170,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
171,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
172,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
173,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
174,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
175,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
176,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
177,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
178,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
179,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
180,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
181,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
182,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
183,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
184,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
185,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
186,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
187,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
188,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
189,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
190,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
191,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
192,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
193,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
194,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
195,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
196,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
197,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
198,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
199,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
200,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
201,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
202,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
203,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
204,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
205,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
206,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
207,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
208,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
209,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
210,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
211,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
212,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
213,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
214,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
215,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
216,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
217,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
218,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
219,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
220,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
221,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
222,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
223,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
224,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
225,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
226,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
227,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
228,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
229,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
230,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
231,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
232,[City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6), City(19), City(3), City(25), City(15), City(9), City(23), City(5), City(16), City(11), City(21)],395.070313,0.002531195
